filename,width,height,class,xmin,xmax,ymin,ymax
000464f9fff223ab.jpg,827,1024,Human,427,531,506,624
000dfa4b325516e4.jpg,685,1024,Human,189,264,317,374
000dfa4b325516e4.jpg,685,1024,Human,374,743,423,810
000fcbfa875b9eb2.jpg,1024,768,Human,353,22,725,516
0011f2fcea05538f.jpg,681,1024,Human,385,812,478,958
0011f2fcea05538f.jpg,681,1024,Human,507,732,617,865
0012180d77867028.jpg,1024,683,Human,545,111,627,202
0012180d77867028.jpg,1024,683,Human,595,452,693,500
0012180d77867028.jpg,1024,683,Human,825,92,921,194
00133d0c06c0a0da.jpg,1024,1024,Human,299,884,398,985
00133d0c06c0a0da.jpg,1024,1024,Human,358,539,432,590
002ba8080b936665.jpg,683,1024,Human,82,723,282,901
003135006cd3d3ea.jpg,1024,1024,Human,166,770,509,992
003135006cd3d3ea.jpg,1024,1024,Human,558,98,686,357
0063e02589176455.jpg,1024,768,Human,307,472,408,579
0063e02589176455.jpg,1024,768,Human,366,725,515,767
0063e02589176455.jpg,1024,768,Human,392,385,503,501
0063e02589176455.jpg,1024,768,Human,658,481,900,628
0063e02589176455.jpg,1024,768,Human,745,443,934,489
00af8ab063fb1cf0.jpg,1024,768,Human,323,186,1023,767
00af92a72b238ac9.jpg,1024,768,Human,0,427,52,531
00af92a72b238ac9.jpg,1024,768,Human,257,515,518,638
01113a4be2f691ee.jpg,612,1024,Human,220,376,481,666
01113a4be2f691ee.jpg,612,1024,Human,350,224,611,435
0116a4701aea0440.jpg,1024,1024,Human,4,150,490,710
0116a4701aea0440.jpg,1024,1024,Human,483,361,1018,944
01579750b02cc9b2.jpg,1024,683,Human,241,265,658,682
01994d4f83223d06.jpg,1024,768,Human,582,398,746,501
01994d4f83223d06.jpg,1024,768,Human,592,488,846,625
01b3720dd7ba1a9b.jpg,1024,683,Human,276,55,990,682
01bc1c02e06aa0ac.jpg,1024,683,Human,80,167,647,463
01bc1c02e06aa0ac.jpg,1024,683,Human,83,354,337,459
01fac470fca17b71.jpg,1024,683,Human,478,378,662,477
02291ca49df995f6.jpg,683,1024,Human,371,450,440,520
02291ca49df995f6.jpg,683,1024,Human,304,557,351,620
026c552f0e86df4e.jpg,1024,681,Human,426,193,1023,537
02953879198d33e8.jpg,1024,682,Human,348,625,428,681
02953879198d33e8.jpg,1024,682,Human,384,632,411,650
02953879198d33e8.jpg,1024,682,Human,664,550,776,639
02953879198d33e8.jpg,1024,682,Human,667,595,680,635
02953879198d33e8.jpg,1024,682,Human,686,494,769,531
02953879198d33e8.jpg,1024,682,Human,726,522,790,581
02953879198d33e8.jpg,1024,682,Human,871,525,934,588
02953879198d33e8.jpg,1024,682,Human,896,551,923,605
02953879198d33e8.jpg,1024,682,Human,920,514,940,529
02ac06cf3147e952.jpg,1024,683,Human,535,519,753,681
02ac06cf3147e952.jpg,1024,683,Human,324,0,488,131
02c818e94201b85c.jpg,768,1024,Human,163,487,198,528
02c818e94201b85c.jpg,768,1024,Human,314,478,347,517
02c818e94201b85c.jpg,768,1024,Human,433,588,464,631
02c818e94201b85c.jpg,768,1024,Human,517,558,547,603
02d501b4c2a29ed5.jpg,1024,683,Human,287,166,981,577
03991d1370b383e2.jpg,1024,768,Human,481,582,591,682
03991d1370b383e2.jpg,1024,768,Human,28,714,117,767
03991d1370b383e2.jpg,1024,768,Human,168,595,254,648
03991d1370b383e2.jpg,1024,768,Human,202,336,221,357
03991d1370b383e2.jpg,1024,768,Human,217,336,236,346
03991d1370b383e2.jpg,1024,768,Human,253,584,288,635
03991d1370b383e2.jpg,1024,768,Human,270,660,417,737
03991d1370b383e2.jpg,1024,768,Human,481,561,572,613
03991d1370b383e2.jpg,1024,768,Human,584,705,703,767
03991d1370b383e2.jpg,1024,768,Human,646,397,671,419
03a39bc84065b4c4.jpg,685,1024,Human,81,130,96,158
03a39bc84065b4c4.jpg,685,1024,Human,103,176,128,200
03a39bc84065b4c4.jpg,685,1024,Human,239,349,344,432
03f2132d207c1fd8.jpg,1024,768,Human,670,490,762,576
03f2132d207c1fd8.jpg,1024,768,Human,687,220,760,301
041317c7a562da74.jpg,1024,768,Human,270,300,435,535
05130ff1656ade6d.jpg,1024,768,Human,213,144,981,703
0517b074706c2036.jpg,1024,1024,Human,721,518,984,896
0517b074706c2036.jpg,1024,1024,Human,4,632,356,928
051d27e4a2c1b1c2.jpg,768,1024,Human,313,715,474,867
051d27e4a2c1b1c2.jpg,768,1024,Human,648,743,741,903
054decb236ddd9d6.jpg,1024,1024,Human,530,162,637,314
054decb236ddd9d6.jpg,1024,1024,Human,686,716,871,865
05a2a394afb6ea65.jpg,681,1024,Human,147,718,311,878
05a2a394afb6ea65.jpg,681,1024,Human,547,748,680,908
05b0049b3426f2b4.jpg,1024,681,Human,392,339,495,426
05b0049b3426f2b4.jpg,1024,681,Human,152,384,261,503
05b0049b3426f2b4.jpg,1024,681,Human,487,650,587,679
05b0049b3426f2b4.jpg,1024,681,Human,729,305,806,389
05ddc1218a727721.jpg,797,1024,Human,0,131,749,947
063f77905b69fa04.jpg,1024,685,Human,135,413,347,596
063f77905b69fa04.jpg,1024,685,Human,266,225,380,331
06de3d4adc4a9524.jpg,768,1024,Human,414,675,566,843
06de3d4adc4a9524.jpg,768,1024,Human,259,448,435,624
06de3d4adc4a9524.jpg,768,1024,Human,315,467,390,516
06de3d4adc4a9524.jpg,768,1024,Human,375,528,591,697
072f39ae16cff3dc.jpg,1024,1021,Human,537,417,581,460
072f39ae16cff3dc.jpg,1024,1021,Human,651,193,691,237
07b109a117fdb0a6.jpg,1024,685,Human,93,498,131,540
07b109a117fdb0a6.jpg,1024,685,Human,364,412,403,442
07b109a117fdb0a6.jpg,1024,685,Human,395,428,420,462
07b109a117fdb0a6.jpg,1024,685,Human,635,548,654,578
07b109a117fdb0a6.jpg,1024,685,Human,640,401,693,471
07b109a117fdb0a6.jpg,1024,685,Human,846,477,872,511
07c6a78ec4c56e64.jpg,1024,683,Human,569,11,797,121
07c6a78ec4c56e64.jpg,1024,683,Human,0,214,104,372
07c6a78ec4c56e64.jpg,1024,683,Human,117,232,293,438
07c6a78ec4c56e64.jpg,1024,683,Human,758,0,922,54
080c7991d5255740.jpg,1024,680,Human,492,454,632,653
081658b3a2b9cfd8.jpg,1024,768,Human,232,364,391,647
081658b3a2b9cfd8.jpg,1024,768,Human,192,701,239,767
084ddbf7acacf03e.jpg,1024,768,Human,33,608,288,750
09ab2e54af83039e.jpg,1024,685,Human,771,427,888,549
09ab2e54af83039e.jpg,1024,685,Human,142,583,270,667
09ab2e54af83039e.jpg,1024,685,Human,419,434,541,516
09ab2e54af83039e.jpg,1024,685,Human,547,345,629,459
0a199de298ce27b4.jpg,1024,768,Human,12,0,407,179
0aa29a1c6c6052ca.jpg,1024,682,Human,433,523,578,633
0acedf730d3bd698.jpg,1024,768,Human,360,2,536,199
0ad1bbc94e1f8ce2.jpg,1024,576,Human,156,109,383,201
0b6179447a42327a.jpg,1024,768,Human,102,96,184,185
0b6179447a42327a.jpg,1024,768,Human,144,646,443,767
0b738319cf1ff124.jpg,916,1024,Human,292,541,528,681
0b738319cf1ff124.jpg,916,1024,Human,550,483,690,614
0b99d212ae337616.jpg,1024,661,Human,145,538,159,554
0b99d212ae337616.jpg,1024,661,Human,168,332,191,364
0b99d212ae337616.jpg,1024,661,Human,224,325,236,340
0b99d212ae337616.jpg,1024,661,Human,234,429,253,451
0b99d212ae337616.jpg,1024,661,Human,261,429,279,450
0ba995cdda338a88.jpg,1024,683,Human,544,479,708,569
0ba995cdda338a88.jpg,1024,683,Human,276,645,311,677
0ba995cdda338a88.jpg,1024,683,Human,430,520,460,563
0ba995cdda338a88.jpg,1024,683,Human,451,590,485,625
0ba995cdda338a88.jpg,1024,683,Human,528,440,608,518
0ba995cdda338a88.jpg,1024,683,Human,856,307,908,362
0ba995cdda338a88.jpg,1024,683,Human,891,417,938,471
0bb570428b6f7c3a.jpg,1024,681,Human,565,502,652,596
0bb570428b6f7c3a.jpg,1024,681,Human,374,456,455,497
0bb570428b6f7c3a.jpg,1024,681,Human,805,353,853,374
0bb570428b6f7c3a.jpg,1024,681,Human,951,629,1023,656
0bb570428b6f7c3a.jpg,1024,681,Human,1005,369,1023,403
0bbc8c6690f81e85.jpg,1024,1024,Human,177,385,811,1022
0c09c567ba2d2490.jpg,1024,678,Human,261,585,510,678
0c09c567ba2d2490.jpg,1024,678,Human,321,634,458,676
0c73f90c2d7b5e5c.jpg,1024,683,Human,584,365,728,483
0c73f90c2d7b5e5c.jpg,1024,683,Human,368,552,473,632
0c73f90c2d7b5e5c.jpg,1024,683,Human,612,619,662,681
0d2951a51d81fed4.jpg,1024,683,Human,712,196,787,286
0d2951a51d81fed4.jpg,1024,683,Human,773,263,800,307
0d5a6bb8ebf81e50.jpg,681,1024,Human,478,0,668,160
0d5a6bb8ebf81e50.jpg,681,1024,Human,0,0,183,218
0e124d6f460d8402.jpg,1024,768,Human,595,543,691,605
0e124d6f460d8402.jpg,1024,768,Human,536,503,643,550
0e124d6f460d8402.jpg,1024,768,Human,660,380,700,406
0e124d6f460d8402.jpg,1024,768,Human,671,262,732,333
0e124d6f460d8402.jpg,1024,768,Human,693,373,755,430
0e124d6f460d8402.jpg,1024,768,Human,784,9,823,76
0e6dd11cd397bc20.jpg,683,1024,Human,339,382,422,450
0e6dd11cd397bc20.jpg,683,1024,Human,181,454,233,520
0ea6b1bbb7c80b36.jpg,665,1024,Human,355,849,432,927
0ea6b1bbb7c80b36.jpg,665,1024,Human,145,846,252,935
0ec315d9b6390f95.jpg,1024,731,Human,572,339,656,415
0ec315d9b6390f95.jpg,1024,731,Human,243,170,295,227
0ec315d9b6390f95.jpg,1024,731,Human,259,429,282,458
0ec315d9b6390f95.jpg,1024,731,Human,288,442,353,480
0ec315d9b6390f95.jpg,1024,731,Human,323,147,373,204
0ec315d9b6390f95.jpg,1024,731,Human,402,495,426,551
0ec315d9b6390f95.jpg,1024,731,Human,423,485,472,553
0ec315d9b6390f95.jpg,1024,731,Human,615,165,664,247
0ec315d9b6390f95.jpg,1024,731,Human,742,510,773,584
0f43a5eaea1d1a70.jpg,1024,683,Human,347,327,412,417
0f43a5eaea1d1a70.jpg,1024,683,Human,526,460,563,529
0f43a5eaea1d1a70.jpg,1024,683,Human,575,325,620,412
0f43a5eaea1d1a70.jpg,1024,683,Human,616,639,701,682
0f6109c3234c27f6.jpg,1024,1024,Human,46,280,102,332
0f6109c3234c27f6.jpg,1024,1024,Human,99,292,142,332
0f6109c3234c27f6.jpg,1024,1024,Human,110,593,163,636
0f6109c3234c27f6.jpg,1024,1024,Human,167,587,217,625
0f6109c3234c27f6.jpg,1024,1024,Human,313,265,371,313
0f6109c3234c27f6.jpg,1024,1024,Human,372,262,422,308
0f6109c3234c27f6.jpg,1024,1024,Human,387,598,436,643
0f6109c3234c27f6.jpg,1024,1024,Human,432,595,475,643
0f6109c3234c27f6.jpg,1024,1024,Human,449,289,497,326
0f6109c3234c27f6.jpg,1024,1024,Human,500,284,540,326
0f6109c3234c27f6.jpg,1024,1024,Human,545,568,590,612
